played_at,track_name,track_id,artist_name_x,artist_id,album,isrc,explicit,release_date,popularity,artist_name_y,artist_popularity,followers,genres
2025-11-30T00:25:12.519Z,"BC, Victoria",4t7S2wX7D5SonTHLE5OfIZ,Richy Mitch & The Coal Miners,4qU7IJSReZnsLy5907Mtau,Subliming,SEYOK1932296,True,2019-06-20,58,Richy Mitch & The Coal Miners,68,320340,[]
2025-11-29T23:54:30.369Z,peach tree,7Bam5WXYNQbbX8X4W5UmoA,Ethan Regan,3UNkRVGHGCrGCE0930Bt9e,peach tree,QZZ7V2589162,False,2024-09-26,55,Ethan Regan,56,45646,[]
2025-11-29T23:50:44.014Z,Old Recliners,1PewwBauzqbg7VGp2JHyKZ,ROLE MODEL,1dy5WNgIKQU6ezkpZs4y8z,Kansas Anymore (The Longest Goodbye),USUM72500277,False,2025-02-14,73,ROLE MODEL,75,816446,['bedroom pop']
2025-11-29T23:47:07.252Z,The Hardest Part (feat. Leon Bridges),1fXALB3kb14ngMRGNdV5wD,Olivia Dean,00x1fYSGhdqScXBRpSj3DW,The Hardest Part (feat. Leon Bridges),GBUM72305196,False,2023-06-16,74,Olivia Dean,91,1978524,['pop soul']
2025-11-29T23:44:15.593Z,Feels Like Deja Vu,4vqTCWPKMLaYoCQPSzgkvK,The Sways,0RgOfcMyPmviqRc3KgDmw3,The Sways,TCAKA2567993,False,2025-09-19,39,The Sways,38,2544,[]
2025-11-29T23:39:56.202Z,Every Weekend,6pJQXRtMPTTIinPThS3fxG,Zach Seabaugh,3bmlmoASHg6ycjrKV05CP2,Every Weekend,QT3EX2568089,False,2025-10-17,53,Zach Seabaugh,48,100694,[]
2025-11-29T23:36:00.563Z,Celeste,60tY66pPyOyLVSrHsD9eEU,GoldFord,4I2QW85rkIhCRRZt1kuBqS,Celeste,CBEFB2501147,False,2025-09-04,59,GoldFord,67,253856,[]
2025-11-29T23:32:49.689Z,sweet hunger,3i04j6FDUcnn2U2F4CaoFs,Ethan Regan,3UNkRVGHGCrGCE0930Bt9e,sweet hunger,USSM12503633,False,2025-09-12,51,Ethan Regan,56,45646,[]
2025-11-29T23:27:45.038Z,Is It Over Now? (Taylor's Version) (From The Vault),1Iq8oo9XkmmvCQiGOfORiz,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1989 (Taylor's Version),USUG12306691,False,2023-10-26,71,Taylor Swift,100,147013844,[]
2025-11-29T23:24:00.710Z,Now That We Don't Talk (Taylor's Version) (From The Vault),5KD6AEm19QnMbfWpfoOHMl,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1989 (Taylor's Version),USUG12306689,False,2023-10-26,71,Taylor Swift,100,147013844,[]
2025-11-29T23:21:37.762Z,Dancing With Our Hands Tied,7I7JbDv63ZJJsSi24DyJrz,Taylor Swift,06HL4z0CvFAxyc27GXpf02,reputation,USCJY1750012,False,2017-11-10,71,Taylor Swift,100,147013844,[]
2025-11-29T23:19:07.936Z,Dancing With Our Hands Tied,7I7JbDv63ZJJsSi24DyJrz,Taylor Swift,06HL4z0CvFAxyc27GXpf02,reputation,USCJY1750012,False,2017-11-10,71,Taylor Swift,100,147013844,[]
2025-11-29T22:26:01.395Z,Delicate,6NFyWDv5CjfwuzoCkw47Xf,Taylor Swift,06HL4z0CvFAxyc27GXpf02,reputation,USCJY1750007,False,2017-11-10,81,Taylor Swift,100,147013844,[]
2025-11-29T22:21:43.559Z,Honey,4qmFC3Jz5aQ0erlk2OSi2X,Taylor Swift,06HL4z0CvFAxyc27GXpf02,The Life of a Showgirl,USUG12506446,True,2025-10-03,88,Taylor Swift,100,147013844,[]
2025-11-29T22:18:46.914Z,Father Figure,03bTIHJElXZ0O0jqOQvAbY,Taylor Swift,06HL4z0CvFAxyc27GXpf02,The Life of a Showgirl,USUG12506439,True,2025-10-03,91,Taylor Swift,100,147013844,[]
2025-11-29T21:55:00.014Z,The Fate of Ophelia,53iuhJlwXhSER5J2IYYv1W,Taylor Swift,06HL4z0CvFAxyc27GXpf02,The Life of a Showgirl,USUG12506436,False,2025-10-03,100,Taylor Swift,100,147013844,[]
2025-11-29T21:51:18.326Z,Opalite,3yWuTOYDztXjZxdE2cIRUa,Taylor Swift,06HL4z0CvFAxyc27GXpf02,The Life of a Showgirl,USUG12506438,False,2025-10-03,96,Taylor Swift,100,147013844,[]
2025-11-29T21:47:27.252Z,Make It Jingle,2OxZdTC2HdbAz9Gu956wzo,Big Freedia,2gyv1akuIB9fQvXoGSPaJr,Office Christmas Party (Original Motion Picture Soundtrack),USUM71615554,True,2016-12-09,38,Big Freedia,46,120952,"['new orleans bounce', 'bounce', 'ballroom vogue']"
2025-11-29T21:46:23.853Z,Make It Jingle,2OxZdTC2HdbAz9Gu956wzo,Big Freedia,2gyv1akuIB9fQvXoGSPaJr,Office Christmas Party (Original Motion Picture Soundtrack),USUM71615554,True,2016-12-09,38,Big Freedia,46,120952,"['new orleans bounce', 'bounce', 'ballroom vogue']"
2025-11-29T15:59:43.440Z,"You're A Mean One, Mr. Grinch",5xQskDSiHQeoebxoprn3HL,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,Dr. Seuss' The Grinch (Original Motion Picture Soundtrack),USQ4E1804014,False,2018-11-09,69,"Tyler, The Creator",88,24779495,[]
2025-11-29T15:57:57.744Z,"Winter Wonderland / Here Comes Santa Claus - From ""Pitch Perfect 2"" Soundtrack",1wMGXSIK48572zgL6RX8kF,Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,Pitch Perfect 2 - Special Edition (Original Motion Picture Soundtrack),USUM71504641,False,2015-05-12,53,Snoop Dogg,82,15881445,"['g-funk', 'west coast hip hop', 'gangster rap', 'hip hop', 'old school hip hop', 'rap']"
2025-11-29T15:55:00.778Z,All I Want for Christmas Is You (feat. Jermaine Dupri & Lil Bow Wow) - So So Def Remix,5EGVmjPN2y1s3hrPcQGqiF,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,Greatest Hits,USSM10019031,False,2001-12-04,40,Mariah Carey,84,12062819,['christmas']
2025-11-29T15:51:18.624Z,buy me presents,3Cz6MZdwncB4qasyRPen4S,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,fruitcake,USUM72313885,True,2023-11-17,70,Sabrina Carpenter,92,27258250,['pop']
2025-11-29T15:48:27.588Z,Christmas Rappin',1MuEjGAGDw07ZqkuX7ea4O,Kurtis Blow,25TKXk9zo9yk0HMJQ3TuE9,20th Century Masters: The Best Of Kurtis Blow,USPR37900026,False,2003-01-01,32,Kurtis Blow,37,236059,"['old school hip hop', 'east coast hip hop']"
2025-11-29T15:44:34.702Z,Sweet Yamz,62oqxoJQYPCyjZ2ChH7foI,Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL,Sweet Yamz,USAT22220368,False,2022-11-18,49,Fetty Wap,72,5126579,[]
2025-11-29T15:42:56.888Z,JINGLE BELLS,0a1k2gtPq8Zzu1z6DN8Cfj,JackboiBay,76O9IeqwcDAuyuo465TUAz,BADDER SANTA,QZNWY2083063,True,2021-12-14,48,JackboiBay,30,272,['christmas']
2025-11-29T15:41:05.325Z,I Am the Grinch (feat. Fletcher Jones),5TVQdlY5H99BSAciKixBSt,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,Dr. Seuss' The Grinch (Original Motion Picture Soundtrack),USQ4E1804015,False,2018-11-09,62,"Tyler, The Creator",88,24779495,[]
2025-11-29T15:30:32.412Z,Rudolph The Red-Nosed Reindeer - Finale,2Ij8kq1eUgrmYD5pHGnQNO,Burl Ives,0MHgLfmQdutffmvWe5XBTN,Rudolph The Red-Nosed Reindeer,USMC16516173,False,1965-12-01,53,Burl Ives,68,117629,['christmas']
2025-11-29T15:29:29.107Z,"Carol of the Bells (From ""Home Alone"" Soundtrack)",4tHqQMWSqmL6YjXwsqthDI,John Williams,3dRfiJ2650SZu6GbydcHNb,Home Alone (Original Motion Picture Soundtrack),USSM19912814,False,1990,81,John Williams,74,1618431,['soundtrack']
2025-11-29T15:27:53.350Z,The Christmas Waltz (feat. Count Basie Big Band),08BhfyKUXxZrnyHrDavNHP,Tony Bennett,2lolQgalUvZDfp5vvVtTYV,A Swingin' Christmas (feat. Count Basie Big Band),USSM10803557,False,2008-10-14,53,Tony Bennett,66,1010031,"['vocal jazz', 'christmas', 'big band', 'adult standards', 'jazz']"
2025-11-29T15:24:36.922Z,Frosty the Snowman (with The Cass County Boys) - 78rpm Version,3i8j2dKXChkErfi8jsDDuH,Gene Autry,5ixB75BQR3ADoWQkcHQJTs,Rudolph The Red Nosed Reindeer And Other Christmas Classics,USSM10309766,False,1947,64,Gene Autry,65,84012,['christmas']
2025-11-29T15:21:49.308Z,Merry Christmas Darling - Remix,0z5HSQGWgnjdNvwbOmhB2w,Carpenters,1eEfMU2AhEo7XnKgL7c304,Christmas Portrait (Special Edition/Reissue),USAM17800383,False,1978-10-13,70,Carpenters,71,3832661,"['christmas', 'adult standards']"
2025-11-29T15:18:35.258Z,Joy To The World,1VuAamHM7P3VQQEXYGG3Uu,Nat King Cole,7v4imS0moSyGdXyLgVTIV7,The Christmas Song (Expanded Edition),USCA29900569,False,1962,74,Nat King Cole,76,2558062,"['christmas', 'adult standards', 'vocal jazz']"
2025-11-29T15:17:16.088Z,It's Beginning To Look Like Christmas,44mYhOVgerj2qPjkGDVA6n,Bing Crosby,6ZjFtWeHP9XN7FeKSUe80S,White Christmas,USMC15151057,False,1945-01-01,72,Bing Crosby,76,602860,['christmas']
2025-11-29T15:14:29.823Z,It's Beginning to Look a Lot like Christmas,0lLdorYw7lVrJydTINhWdI,Michael Bublé,1GxkXlMwML1oSg5eLPiAz3,Christmas,USRE11100700,False,2011-10-24,80,Michael Bublé,82,6929593,['christmas']
2025-11-29T15:11:01.985Z,Have Yourself A Merry Little Christmas - Remastered 1999,2FPfeYlrbSBR8PwCU0zaqq,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,A Jolly Christmas From Frank Sinatra,USCA29900549,False,1957-09,81,Frank Sinatra,82,8461629,"['christmas', 'big band', 'adult standards', 'swing music', 'jazz', 'vocal jazz']"
2025-11-29T15:07:43.359Z,We Need a Little Christmas,7uyIOiGyIpOR6OGz8UHBuq,Johnny Mathis,21LGsW7bziR4Ledx7WZ1Wf,Christmas Eve With Johnny Mathis,USSM19914592,False,1986-09-23,58,Johnny Mathis,61,451107,['christmas']
2025-11-29T15:05:47.688Z,Mistletoe,7xapw9Oy21WpfEcib2ErSA,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Under The Mistletoe (Deluxe Edition),USUM71116290,False,2011-01-01,84,Justin Bieber,92,85472179,[]
2025-11-29T15:02:49.611Z,Little Saint Nick - 1991 Remix,5xlS0QkVrSH7ssEbBgBzbM,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,The Beach Boys' Christmas Album,USCA29100193,False,1964-11-09,75,The Beach Boys,72,5112307,['baroque pop']
2025-11-29T15:00:54.623Z,(There's No Place Like) Home for the Holidays - 1959 Version,0hvN2v6fAcB6xWyW7UaooA,Perry Como,5v8jlSmAQfrkTjAlpUfWtu,Season's Greetings,USRC10101096,False,1991-08-26,65,Perry Como,69,595845,"['christmas', 'adult standards']"
2025-11-29T14:58:02.846Z,Run Rudolph Run,2pnPe4pJtq7689i5ydzvJJ,Chuck Berry,293zczrfYafIItmnmM3coR,Rock 'N' Roll Rarities,USMC15819663,False,1986-01-01,80,Chuck Berry,68,2223377,"['rockabilly', 'rock and roll']"
2025-11-29T14:55:23.045Z,Blue Christmas,3QiAAp20rPC3dcAtKtMaqQ,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,Elvis' Christmas Album,USRC15701155,False,1957-10-15,79,Elvis Presley,79,11077742,"['rockabilly', 'rock and roll']"
2025-11-29T14:53:16.358Z,Deck The Hall,0rHToGels2lt8Y0mCYoF90,Nat King Cole,7v4imS0moSyGdXyLgVTIV7,The Christmas Song (Expanded Edition),USCA29900552,False,1962,78,Nat King Cole,76,2558062,"['christmas', 'adult standards', 'vocal jazz']"
2025-11-29T14:52:11.838Z,White Christmas - 1947 Version,3XsaSIPWvM61RIFfeb0BBR,Bing Crosby,6ZjFtWeHP9XN7FeKSUe80S,White Christmas,USMC14750470,False,1945-01-01,81,Bing Crosby,76,602860,['christmas']
2025-11-29T14:49:13.362Z,Up On The House Top (Ho Ho Ho) (with Carl Cotner's Orchestra),4alUHNz5SiX3h4ML2ZebSp,Gene Autry,5ixB75BQR3ADoWQkcHQJTs,Rudolph The Red Nosed Reindeer And Other Christmas Classics,USSM10310143,False,1947,62,Gene Autry,65,84012,['christmas']
2025-11-29T14:46:26.856Z,White Christmas (with Shania Twain),2gbCG4Rt9984UZ7Tc0dIFd,Michael Bublé,1GxkXlMwML1oSg5eLPiAz3,Christmas,USRE11100703,False,2011-10-24,69,Michael Bublé,82,6929593,['christmas']
2025-11-29T14:42:57.531Z,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),0SUKNXEqZnRw7g0NO139FM,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,The Classic Christmas Album,USSM10018232,False,2014,65,Frank Sinatra,82,8461629,"['christmas', 'big band', 'adult standards', 'swing music', 'jazz', 'vocal jazz']"
2025-11-29T14:40:23.359Z,"Carol of the Bells (From ""Home Alone"" Soundtrack)",0oEBvSzYp0aS7Obdus1RGm,John Williams,3dRfiJ2650SZu6GbydcHNb,Christmas Hits,USSM19912814,False,2019-12-13,61,John Williams,74,1618431,['soundtrack']
2025-11-29T14:35:11.313Z,I've Seen It,6tHVEMyRfxGgQuXRzl2yOF,Olivia Dean,00x1fYSGhdqScXBRpSj3DW,The Art of Loving,GBUM72503094,False,2025-09-26,85,Olivia Dean,91,1978524,['pop soul']
2025-11-29T14:34:32.262Z,I've Seen It,6tHVEMyRfxGgQuXRzl2yOF,Olivia Dean,00x1fYSGhdqScXBRpSj3DW,The Art of Loving,GBUM72503094,False,2025-09-26,85,Olivia Dean,91,1978524,['pop soul']
